UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),city_tier,CITY_AVG,Builder,Dealer,Owner
0,0,2,7.170301378455103,1,1,12.96991,77.59796,55.0,1,100.29492641906096,0,0,1
0,0,2,7.150701457592526,1,1,12.274538,76.644605,51.0,2,62.35348837209302,0,1,0
0,0,2,6.83857637826425,1,1,12.778033,77.632191,43.0,1,100.29492641906096,0,0,1
0,1,2,6.83509978975649,1,1,28.6423,77.3445,62.5,2,53.83091160220994,0,0,1
1,0,2,6.906764034861971,0,1,22.5922,88.484911,60.5,1,68.99663518299882,0,1,0
0,0,3,7.1308988302963465,1,1,10.03328,76.282571,42.0,2,87.75099009900991,0,0,1
0,0,3,7.309917576812295,1,1,26.916347,75.7956,66.5,2,51.019979188345474,0,1,0
0,1,3,7.074127778033979,1,1,30.74,76.65,52.0,3,68.53598553345388,0,0,1
0,1,2,6.946975992135418,1,1,13.054202,77.674002,41.6,1,100.29492641906096,0,1,0
0,1,2,6.778922407115418,1,1,12.95161,80.14097,36.0,1,64.54308811641069,0,0,1
0,0,3,7.208088469005762,1,1,26.724219,88.326357,35.0,2,37.71204819277108,0,0,1
0,0,2,7.195194956308593,1,1,13.04034,77.591347,110.0,1,100.29492641906096,0,1,0
0,0,2,6.8321454590193635,1,1,12.96991,77.59796,48.0,1,100.29492641906096,0,0,1
0,1,2,7.023021323895495,1,1,28.587711,77.403123,62.0,2,88.35898005698006,0,0,1
0,0,1,6.476947363192577,1,1,13.0352,77.5772,20.0,3,28.918461538461536,0,0,1
1,1,3,7.2400169830248124,0,1,28.429614,77.481711,71.1,2,88.35898005698006,0,1,0
0,0,3,7.4955890038880275,1,1,20.275267,85.862407,85.0,2,60.59553191489361,0,0,1
1,1,3,7.661478471235887,0,1,12.8855,77.5638,180.0,1,100.29492641906096,0,1,0
0,0,2,7.003065458786462,1,1,21.15389,79.08306,22.0,3,24.4,0,0,1
0,1,3,7.686460347686729,1,1,13.092356,77.613468,120.0,1,100.29492641906096,0,1,0
0,0,2,6.781220528103904,1,1,13.05,80.11,45.0,1,64.54308811641069,0,0,1
0,0,2,6.851059935343925,1,1,18.452663,73.93104,42.0,1,85.75869675456389,0,1,0
0,1,3,7.177895149535212,1,1,28.5041,77.381557,55.0,2,88.35898005698006,0,1,0
0,0,2,7.106450150152037,1,1,21.105779,79.078497,50.0,2,44.292835820895526,0,1,0
0,0,2,6.659475754432749,1,1,22.54111,88.33778,27.5,1,68.99663518299882,0,0,1
0,0,3,7.3777589082278725,1,1,28.63601,77.433724,46.0,2,53.83091160220994,0,0,1
0,0,2,7.073619123359511,1,1,30.712867,76.648557,22.9,3,68.53598553345388,0,1,0
0,0,2,6.907755278982137,1,1,28.2102,76.8606,12.5,3,25.418633540372674,0,1,0
0,0,3,7.244304441930159,1,1,28.40473,77.367514,52.0,2,56.12788906009245,0,1,0
0,1,2,6.849200534066718,1,1,28.5041,77.381557,33.0,2,88.35898005698006,0,1,0
0,0,2,7.047644501952429,1,1,26.586306,74.873234,55.0,2,51.019979188345474,0,0,1
1,1,1,6.761650820619044,0,1,19.18,72.96333,82.0,3,142.94272598870057,0,1,0
0,0,3,7.068350925606546,1,1,12.852171,80.216826,55.0,1,64.54308811641069,0,0,1
1,1,2,6.9276440633510035,0,1,18.5993,73.7625,65.0,1,85.75869675456389,0,1,0
0,0,4,7.40863057219696,1,1,22.312063,72.674296,65.0,2,39.9762278978389,0,0,1
1,0,2,6.907755278982137,0,1,17.815234,83.35818,35.0,2,54.3564606741573,0,1,0
0,0,3,7.170159544188049,1,1,12.894088,77.548914,75.0,1,100.29492641906096,0,0,1
0,1,2,6.964244234117938,1,1,18.539812,73.737678,65.0,1,85.75869675456389,0,1,0
1,0,1,5.991464547107982,0,1,18.5438,73.9438,30.0,1,85.75869675456389,0,1,0
0,0,2,7.04762248972943,1,1,20.36667,72.9,38.0,3,24.427027027027027,0,0,1
0,0,3,7.090076835776092,1,1,28.460928,77.039391,60.0,2,53.83091160220994,0,0,1
