Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24
194.76,124.48,174.3,211.23,207.79,165,203.95,264.45,269.08,261.18,254.77,202.8,245.22,255.19,193.97,205.28,179.57,190.95,180.32,203.2,216.13,214.57,264.86,259.75
186.38,123.57,179.77,209.42,197.33,160.48,204.48,260.74,267.25,260.51,247.55,210.88,252.75,265.13,196.36,205.3,181.91,198.87,182.67,198.72,231.87,214.89,260.7,263.35
188.5,116.27,180.68,197.67,195.29,160.67,198.6,259.88,269.13,257.48,245.33,212.41,247,263.34,191.48,205.6,184.25,172.12,178.15,197.76,234.68,211.84,261.75,264.98
185.2,119.67,161.42,205.14,192.35,163.47,186.78,250.39,268.04,244.38,249.55,214.8,238.33,257.97,186.78,201.78,175.24,170.88,178.25,187.97,232.41,215.66,257.05,273.54
183.62,128.62,146.41,201.99,197.39,165.65,184.22,258.37,272.9,239,247.1,220.1,238.75,258.22,193,197.57,171.2,167.97,180.08,188.8,234.27,219.09,257.19,269.49
170.92,136.63,146.5,209.71,192.36,166,192.96,262.45,269.85,238.92,257.79,222.05,244.01,254.8,212.73,198.32,178.18,147.26,181.9,183.95,222.28,221.48,250,262.12
176.77,141.26,145.38,208.44,199.31,169.7,189.32,265,268,238.98,260.86,216.98,243.62,259.84,215.65,199.44,176.25,144.44,183.8,185.21,226,224.8,243.99,218.72
185.19,148.47,133.51,217.65,200.66,183.5,181.95,276.99,280.93,240.82,273.93,218.86,237.1,258.34,217.8,198.6,172.82,150.94,186.88,187.2,225.99,224.66,244.24,218.22
186.16,155.25,129.99,214.66,198,187.69,177.06,274.75,299.29,232.13,267.85,230.61,237.39,258.74,213.19,203.17,174.72,152.2,177.75,188.81,255.76,228.22,235.68,220.48
192.57,160.99,136.68,209.82,186.44,189.69,174.5,263.6,295.26,217.58,271.44,254.63,240.88,254.13,217.45,200.88,165.18,158.33,179.63,186,253.21,222.98,234.57,222.28
200.82,160.93,131.7,196.3,186.22,186.28,169.52,258.95,292.23,226.74,278.98,257.18,246.7,253.88,215.67,188.89,171.17,158.19,175.79,191.08,249.44,219.8,229.96,222.08
195.73,161.62,122.63,206.2,185.81,186.5,169.76,261.57,285.3,233.97,276.71,255.4,238.13,240.3,223.49,187.26,176.05,170.69,180,180.55,257.14,215.88,232.67,222.82
196.52,175.05,124.13,214,182.34,191.58,177.38,259.68,279.45,240.5,274.98,259.6,225.4,238.99,225.34,194.73,179.43,173.81,179.49,174.75,258.47,208.44,231.45,224.26
191,177.37,125.95,203,183.8,189.19,173.57,250.97,276.52,240.66,278.39,265.41,215.38,243.44,230.93,194.12,182.87,175.88,175.4,178.57,258.62,208.49,228.47,221.91
195.89,182.5,122.76,197.5,177.35,185.1,174.43,252.42,270.9,243.79,274.85,268.6,220.8,245.27,235.5,191.62,182.73,174.93,173.06,179.35,265.6,199.26,226.4,223.34
195.2,175.2,123.52,198.17,178.29,186.39,169.82,235.23,277.52,251.8,256.52,268.94,224.15,244.08,238.96,189.79,180.04,179.22,175.62,179.73,251.84,200.88,219.87,242.79
208.9,179.38,114.39,199,185.18,190.68,173.8,230.83,280.78,251.1,252.81,261.36,223.12,246.57,241.25,186.49,181.58,174.5,176.06,176.15,271,200.7,233.6,247.43
223.8,183.65,111.75,196.75,186.5,198.74,170.79,221.91,279.97,250.92,255.39,261.65,226.32,246.66,240.12,184.68,184.59,170.86,183.26,177.76,267.59,203.49,235,246.21
221.2,191.27,114.59,183.8,194.2,202.69,162.95,221.29,283.85,253.65,258,263.6,226.37,239.37,242.7,188.69,199.75,177.19,187.56,182.64,265.61,202.9,222.22,249.83
227.87,196.25,118.8,,198.6,,165,217.25,284.25,264.77,259.08,261.86,219.2,240.19,245.68,189.88,204.52,168.82,184.78,,259.44,203.88,219.9,250.96
237.4,,,,200.48,,165.49,209.8,,260.49,,250.02,205.99,,251.25,,,167.69,184.6,,252.37,216.13,,249.79
,,,,193.75,,163.28,,,259.52,,254.28,,,,,,176.75,185.86,,248.35,231.87,,251.16
,,,,207.2,,,,,266.47,,,,,,,,,,,231.3,,,263.98
