2022,,2023,,,,,,,,,,,,2024,,,,,,,,,
Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct
180.63,119.75,162.78,203.75,197.2,157.32,195.12,259.89,263.78,255.05,246.35,194.07,236.91,247.43,185.85,198.45,175.3,182.84,173.82,195.26,226.79,207.03,255.77,249.25
178.75,117.5,166.5,201.26,194.42,152.37,197.53,253.61,258.23,250.59,238.65,194.67,242.76,252.71,190.61,198.44,176,184.54,175.38,194.05,220,205.97,254.12,255.82
179,108.24,161.17,192.8,189.44,153.14,184.53,248.89,255.3,237.77,234.58,205.77,234.01,257.52,183.67,198.26,177.38,166.37,173.93,186.36,224.7,202.59,251.53,255.51
180.63,108.76,154.76,196.33,185.43,158.75,180.58,240.85,261.75,235.35,241.66,204.88,232.1,252.91,182.1,192,168.73,158.36,173.16,182.01,215.33,206.94,252.28,262.24
172.5,121.02,138.07,191.78,189.94,158.61,178.22,240.7,265,230.35,238.31,212.2,232.33,251.37,180.06,191.5,166.3,157.51,173.73,182.55,216.23,211.01,249.05,255.32
166.18,122.26,141.1,197.22,187.15,161.32,185.26,252.8,254.12,228.18,244.48,214.11,231.4,248.55,206.77,191.36,171.8,141.11,173.26,180.69,214.71,214.21,241.92,242.65
167.54,135.89,134.27,197.5,188.65,160.56,180.11,248.25,255.8,229.29,254.21,202.51,233.34,247,207.75,191.95,170.82,138.8,178.12,179.66,245.63,210.32,235.92,212.11
176.55,137.66,127.35,201.84,190.95,177.65,176.31,257.78,261.2,229.55,262.46,210.42,231.02,253.01,206.27,189.13,167.42,146.22,174.71,182.37,243.75,218.86,232.13,215.26
180.9,145.82,124.31,206.11,188.04,183.58,172.45,261.12,289.52,220.58,261.2,216.78,226.54,251.36,207.56,197.4,165.9,148.7,173.52,177,236.83,219.56,226.88,215.73
185.66,150.04,127.01,189.44,176.35,182.69,167.18,257.21,286.01,212.36,263.76,242.08,230.96,248.3,208.74,188.86,160.76,153.78,172.75,176.92,247.2,214.09,226.55,219.23
192.06,153.28,125.02,187.61,177.33,182.01,164.35,247.29,283.57,218.83,271,247.08,236.45,240.79,212.01,183.35,160.51,153.75,171.43,181.23,246.18,210.8,223.53,217.9
186.34,155.31,115.6,192.89,178.84,180.94,164.55,250.5,276.31,225.38,270.42,248.48,230.72,228.2,212.18,182.11,169.15,161.38,173.11,169.8,245.8,204.82,226.32,218.93
182.59,156.91,117,204.77,176.03,180.31,167.23,251.34,270.6,232.61,268.1,250.22,211.61,233.87,217.15,187.28,172.41,170.36,174.07,167.41,251.73,198.75,223.83,217.12
180.03,167.52,120.51,194.31,177.14,185.65,166.79,244.59,271.46,233.75,266.6,256.63,205.69,237.45,225.37,189.48,174.8,168.51,169,173.17,233.09,197.06,216.8,213.74
177.12,173.36,114.92,189.55,163.91,176.11,166.68,242.02,266.37,238.02,260.61,260.9,206.68,239.27,231.29,185.58,174.7,170.01,167.75,175.58,239.65,194.67,218.64,214.38
186.75,169.06,117.11,189.92,168.44,179.74,166.56,223.01,265.1,243,246.67,257.65,217.64,236.98,232.04,182.68,173.7,171.92,171.37,172.73,257.86,195.11,213.67,232.34
196.66,172.22,101.81,183.69,172.51,183.76,169.19,223.2,273.77,241.9,243.26,252.05,215.72,239.17,235.3,177.11,173.7,167.79,170.15,172.13,250.3,192.04,210.51,239.51
203.08,175.33,107.16,182.61,180,190.32,163.51,212.53,272.88,245.01,245.06,250.65,215,233.7,234.9,175.01,177.57,160.51,177.4,174,244.57,191.48,222.25,240.56
210.14,180.55,107.52,169.93,186.1,192.2,159.65,214.52,277.6,242.76,244.86,256.25,218.4,233.29,237.73,182,186.72,168.01,182.2,174.49,242.46,192.67,210.57,240.7
214.82,191.11,104.64,,192.3,,159.91,209.75,275.11,253.11,242.01,247.6,211.45,231.9,236.32,184.28,198.5,163.28,178.42,,234.25,182,209.64,244.58
227.28,,,,192.88,,158.93,199.37,,252,,244.45,197.85,,244.41,,,163.43,176.02,,218.06,205.78,,237.81
,,,,186.01,,158.83,,,250.49,,242.62,,,,,,170.21,179.01,,200.85,214.33,,241.5
,,,,198.52,,,,,260.25,,,,,,,,,,,,,,248.53
