,Date,Price,Open,High,Low,Vol.(Millions),Change
0,15-11-2024,320.72,310.57,324.68,309.22,114.44,0.0307
1,14-11-2024,311.18,327.69,329.98,310.37,120.73,-0.0577
2,13-11-2024,330.24,335.85,344.6,322.5,125.41,0.0053
3,12-11-2024,328.49,342.74,345.84,323.31,155.73,-0.0615
4,11-11-2024,350,346.3,358.64,336,210.52,0.0896
5,08-11-2024,321.22,299.14,328.71,297.66,204.78,0.0819
6,07-11-2024,296.91,288.89,299.75,285.52,117.31,0.029
7,06-11-2024,288.53,284.67,289.59,275.62,165.23,0.1475
8,05-11-2024,251.44,247.34,255.28,246.21,69.28,0.0354
9,04-11-2024,242.84,244.56,248.9,238.88,68.8,-0.0247
10,01-11-2024,248.98,252.04,254,246.63,57.54,-0.0035
11,31-10-2024,249.85,257.99,259.75,249.25,66.58,-0.0299
12,30-10-2024,257.55,258.04,263.35,255.82,53.99,-0.0076
13,29-10-2024,259.52,264.51,264.98,255.51,80.52,-0.0114
14,28-10-2024,262.51,270,273.54,262.24,107.65,-0.0248
15,25-10-2024,269.19,256.01,269.49,255.32,161.61,0.0334
16,24-10-2024,260.48,244.68,262.12,242.65,204.49,0.2192
17,23-10-2024,213.65,217.13,218.72,212.11,80.94,-0.0198
18,22-10-2024,217.97,217.31,218.22,215.26,43.27,-0.004
19,21-10-2024,218.85,218.9,220.48,215.73,47.33,-0.0084
20,18-10-2024,220.7,220.71,222.28,219.23,49.61,-0.0009
21,17-10-2024,220.89,221.59,222.08,217.9,50.79,-0.002
22,16-10-2024,221.33,221.4,222.82,218.93,49.63,0.008
23,15-10-2024,219.57,220.01,224.26,217.12,62.99,0.0019
24,14-10-2024,219.16,220.13,221.91,213.74,86.29,0.0062
25,11-10-2024,217.8,220.13,223.34,214.38,142.63,-0.0878
26,10-10-2024,238.77,241.81,242.79,232.34,83.09,-0.0095
27,09-10-2024,241.05,243.82,247.43,239.51,66.29,-0.0141
28,08-10-2024,244.5,243.56,246.21,240.56,56.3,0.0152
29,07-10-2024,240.83,249,249.83,240.7,68.11,-0.037
