Date,Price,Open,High,Low,Vol.(Millions),Change,Close
02-01-2015,14.62,14.86,14.88,14.22,71.47,-0.0142,14.3
05-01-2015,14.01,14.3,14.43,13.81,80.53,-0.0417,14
06-01-2015,14.09,14,14.28,13.61,93.93,0.0057,14.22
07-01-2015,14.06,14.22,14.32,13.99,44.53,-0.0021,14.19
08-01-2015,14.04,14.19,14.25,14,51.64,-0.0014,13.93
09-01-2015,13.78,13.93,14,13.66,70.02,-0.0185,13.54
12-01-2015,13.48,13.54,13.63,13.28,89.25,-0.0218,13.55
13-01-2015,13.62,13.55,13.84,13.39,67.16,0.0104,12.39
14-01-2015,12.85,12.39,13.01,12.33,173.28,-0.0565,12.97
15-01-2015,12.79,12.97,13.05,12.67,78.25,-0.0047,12.71
16-01-2015,12.87,12.71,12.97,12.64,54.05,0.0063,12.92
20-01-2015,12.8,12.92,12.94,12.47,67.55,-0.0054,12.64
21-01-2015,13.1,12.64,13.25,12.63,62.3,0.0234,13.13
22-01-2015,13.44,13.13,13.55,13.01,61.75,0.026,13.35
23-01-2015,13.42,13.35,13.57,13.22,51.64,-0.0015,13.46
26-01-2015,13.77,13.46,13.91,13.4,48.52,0.0261,13.63
27-01-2015,13.73,13.63,13.87,13.55,41.72,-0.0029,13.74
28-01-2015,13.29,13.74,13.76,13.23,47.24,-0.032,13.4
29-01-2015,13.68,13.4,13.73,13.1,53.22,0.0293,13.6
30-01-2015,13.57,13.6,13.83,13.53,45.1,-0.008,13.6
02-02-2015,14.06,13.6,14.13,13.55,62.24,0.0361,14.21
03-02-2015,14.56,14.21,14.69,14.08,72.39,0.0356,14.55
04-02-2015,14.57,14.55,14.77,14.45,49.58,0.0007,14.66
05-02-2015,14.73,14.66,15.03,14.64,52.84,0.011,14.8
06-02-2015,14.49,14.8,14.89,14.43,48.66,-0.0163,14.36
09-02-2015,14.5,14.36,14.53,14.13,52.09,0.0007,14.5
10-02-2015,14.42,14.5,14.7,14.33,80.86,-0.0055,14.15
11-02-2015,14.19,14.15,14.32,13.82,146.54,-0.016,12.9
12-02-2015,13.53,12.9,13.54,12.89,234.74,-0.0465,13.53
13-02-2015,13.58,13.53,13.73,13.39,92.87,0.0037,13.71
17-02-2015,13.62,13.71,13.71,13.43,59.69,0.0029,13.61
18-02-2015,13.63,13.61,13.74,13.51,40.7,0.0007,13.67
19-02-2015,14.11,13.67,14.16,13.58,77.31,0.0352,14.05
20-02-2015,14.47,14.05,14.51,13.99,89.73,0.0255,14.38
23-02-2015,13.82,14.38,14.55,13.76,127.5,-0.0449,13.82
24-02-2015,13.61,13.82,13.82,13.45,99.05,-0.0152,13.66
25-02-2015,13.58,13.66,13.81,13.51,58.64,-0.0022,13.6
26-02-2015,13.81,13.6,14.07,13.48,97.09,0.0169,13.79
27-02-2015,13.56,13.79,13.9,13.52,58.23,-0.0181,13.51
02-03-2015,13.15,13.51,13.56,13.05,118.83,-0.0302,13.12
03-03-2015,13.3,13.12,13.35,13.02,66.49,0.0114,13.28
04-03-2015,13.5,13.28,13.5,13.15,63.33,0.015,13.52
05-03-2015,13.38,13.52,13.75,13.34,73.16,-0.0089,13.28
06-03-2015,12.93,13.28,13.38,12.81,100.69,-0.0336,12.96
09-03-2015,12.73,12.96,12.97,12.55,101.05,-0.0155,12.56
10-03-2015,12.69,12.56,12.9,12.51,83.7,-0.0031,12.74
11-03-2015,12.92,12.74,13.08,12.73,74.62,0.0181,12.92
12-03-2015,12.74,12.92,12.96,12.65,62.24,-0.0139,12.6
13-03-2015,12.58,12.6,12.78,12.49,81.51,-0.0126,12.8
16-03-2015,13.05,12.8,13.06,12.65,84.43,0.0374,13.03
17-03-2015,12.98,13.03,13.25,12.93,73.41,-0.0054,13
18-03-2015,13.38,13,13.39,12.87,72.31,0.0308,13.47
19-03-2015,13.04,13.47,13.64,12.97,127.13,-0.0254,13.16
20-03-2015,13.21,13.16,13.27,13.04,64.04,0.013,13.23
23-03-2015,13.31,13.23,13.37,13.16,39.47,0.0076,13.44
24-03-2015,13.45,13.44,13.59,13.32,54.75,0.0105,13.22
25-03-2015,12.95,13.22,13.24,12.85,85.96,-0.0372,12.93
26-03-2015,12.69,12.93,12.99,12.65,61.92,-0.0201,12.6
27-03-2015,12.33,12.6,12.62,12.09,129.07,-0.0284,12.39
30-03-2015,12.7,12.39,12.82,12.12,151.34,0.03,12.9
31-03-2015,12.58,12.9,12.92,12.56,75.4,-0.0094,12.58
01-04-2015,12.51,12.58,12.82,12.4,56.92,-0.0056,12.68
02-04-2015,12.73,12.68,12.88,12.67,75.16,0.0176,13.2
06-04-2015,13.54,13.2,13.85,13.17,186.84,0.0636,13.5
07-04-2015,13.55,13.5,13.67,13.41,65.22,0.0007,13.88
08-04-2015,13.84,13.88,14.06,13.72,94.55,0.0214,13.9
09-04-2015,14.01,13.9,14.02,13.74,57,0.0123,13.99
10-04-2015,14.06,13.99,14.11,13.93,61.02,0.0036,14.03
13-04-2015,13.99,14.03,14.2,13.94,56.37,-0.005,13.9
14-04-2015,13.83,13.9,13.97,13.7,45.39,-0.0114,13.83
15-04-2015,13.86,13.83,13.97,13.77,29.29,0.0022,13.85
16-04-2015,13.78,13.85,13.94,13.75,24.89,-0.0058,13.67
17-04-2015,13.79,13.67,13.79,13.57,37.05,0.0007,13.79
20-04-2015,13.68,13.79,13.86,13.59,38.39,-0.008,13.72
21-04-2015,13.96,13.72,14.05,13.62,51.49,0.0205,14.17
22-04-2015,14.63,14.17,14.79,14.11,117.95,0.048,14.55
23-04-2015,14.57,14.55,14.77,14.48,66.17,-0.0041,14.7
24-04-2015,14.56,14.7,14.72,14.53,36.42,-0.0007,14.84
27-04-2015,15.44,14.84,15.92,14.8,175.09,0.0604,15.65
28-04-2015,15.37,15.65,15.7,15.2,91.28,-0.0045,15.34
29-04-2015,15.5,15.34,15.66,15.18,59.04,0.0085,15.36
30-04-2015,15.07,15.36,15.53,15.01,58.68,-0.0277,15.21
04-05-2015,15.37,15.21,15.65,15.14,66.52,0.0199,15.85
05-05-2015,15.53,15.85,15.97,15.28,86.95,0.0104,15.61
06-05-2015,15.36,15.61,15.63,15.21,79.06,-0.0109,14.73
07-05-2015,15.79,14.73,15.83,14.68,141.84,0.028,15.73
08-05-2015,15.77,15.73,15.89,15.58,70.02,-0.0013,15.75
11-05-2015,15.97,15.75,16.19,15.69,85.08,0.0127,16.01
12-05-2015,16.32,16.01,16.42,15.88,95.45,0.0219,16.51
13-05-2015,16.21,16.51,16.55,16.15,81.6,-0.0067,16.32
14-05-2015,16.27,16.32,16.33,16.08,43.44,0.0037,16.26
15-05-2015,16.59,16.26,16.63,16.17,67.91,0.0197,16.47
18-05-2015,16.58,16.47,16.66,16.4,50.3,-0.0006,16.56
19-05-2015,16.48,16.56,16.73,16.41,55.11,-0.006,16.48
20-05-2015,16.29,16.48,16.52,16.09,56.33,-0.0115,16.2
21-05-2015,16.37,16.2,16.44,16.16,29.56,0.0049,16.36
22-05-2015,16.52,16.36,16.57,16.33,33.35,0.0092,16.51
26-05-2015,16.5,16.51,16.8,16.43,52.48,-0.0012,16.47
28-05-2015,16.76,16.47,16.79,16.34,54.71,0.0158,16.73
29-05-2015,16.72,16.73,16.86,16.63,56.84,-0.0024,16.76
01-06-2015,16.63,16.76,16.77,16.5,37.58,-0.0054,16.59
02-06-2015,16.56,16.59,16.63,16.42,32.02,-0.0042,16.55
03-06-2015,16.6,16.55,16.71,16.47,26.72,0.0024,16.5
04-06-2015,16.39,16.5,16.62,16.38,36.8,-0.0127,16.4
05-06-2015,16.61,16.4,16.65,16.38,45.33,0.0134,16.72
08-06-2015,17.09,16.72,17.25,16.69,75.26,0.0289,17.03
09-06-2015,17.07,17.03,17.18,16.94,39.17,-0.0012,16.79
10-06-2015,16.71,16.79,16.93,16.57,51.82,-0.0211,16.88
11-06-2015,16.76,16.88,16.96,16.7,30.66,0.003,16.68
12-06-2015,16.71,16.68,16.9,16.68,21.34,-0.003,16.65
15-06-2015,16.69,16.65,16.75,16.4,32.79,-0.0012,16.68
16-06-2015,16.87,16.68,16.9,16.61,29.77,0.0108,16.81
17-06-2015,17.36,16.81,17.62,16.8,82.69,0.029,17.47
18-06-2015,17.46,17.47,17.56,17.33,41.74,0.0058,17.49
19-06-2015,17.5,17.49,17.59,17.34,36.95,0.0023,17.48
22-06-2015,17.32,17.48,17.63,17.05,68.42,-0.0103,17.35
