Date,Price,Open,High,Low,Vol.(millions),Change
31-10-2024,249.85,257.99,259.75,249.25,66.58,-0.0299
30-10-2024,257.55,258.04,263.35,255.82,53.99,-0.0076
29-10-2024,259.52,264.51,264.98,255.51,80.52,-0.0114
28-10-2024,262.51,270,273.54,262.24,107.65,-0.0248
25-10-2024,269.19,256.01,269.49,255.32,161.61,0.0334
24-10-2024,260.48,244.68,262.12,242.65,204.49,0.2192
23-10-2024,213.65,217.13,218.72,212.11,80.94,-0.0198
22-10-2024,217.97,217.31,218.22,215.26,43.27,-0.004
21-10-2024,218.85,218.9,220.48,215.73,47.33,-0.0084
18-10-2024,220.7,220.71,222.28,219.23,49.61,-0.0009
17-10-2024,220.89,221.59,222.08,217.9,50.79,-0.002
16-10-2024,221.33,221.4,222.82,218.93,49.63,0.008
15-10-2024,219.57,220.01,224.26,217.12,62.99,0.0019
14-10-2024,219.16,220.13,221.91,213.74,86.29,0.0062
11-10-2024,217.8,220.13,223.34,214.38,142.63,-0.0878
10-10-2024,238.77,241.81,242.79,232.34,83.09,-0.0095
09-10-2024,241.05,243.82,247.43,239.51,66.29,-0.0141
08-10-2024,244.5,243.56,246.21,240.56,56.3,0.0152
07-10-2024,240.83,249,249.83,240.7,68.11,-0.037
04-10-2024,250.08,246.69,250.96,244.58,86.73,0.0391
03-10-2024,240.66,244.48,249.79,237.81,80.73,-0.0336
02-10-2024,249.02,247.55,251.16,241.5,93.98,-0.0349
01-10-2024,258.02,262.67,263.98,248.53,87.4,-0.0138
30-09-2024,261.63,259.04,264.86,255.77,80.87,0.0045
27-09-2024,260.46,257.38,260.7,254.12,70.99,0.0245
26-09-2024,254.22,260.6,261.75,251.53,67.14,-0.0109
25-09-2024,257.02,252.54,257.05,252.28,65.03,0.0108
24-09-2024,254.27,254.08,257.19,249.05,88.49,0.0171
23-09-2024,250,242.61,250,241.92,86.93,0.0493
20-09-2024,238.25,241.52,243.99,235.92,99.88,-0.0232
19-09-2024,243.92,234,244.24,232.13,102.7,0.0736
18-09-2024,227.2,230.09,235.68,226.88,78.01,-0.0029
17-09-2024,227.87,229.45,234.57,226.55,66.76,0.0048
16-09-2024,226.78,229.3,229.96,223.53,54.32,-0.0152
13-09-2024,230.29,228,232.67,226.32,59.52,0.0021
12-09-2024,229.81,224.66,231.45,223.83,72.02,0.0074
11-09-2024,228.13,224.55,228.47,216.8,83.55,0.0087
10-09-2024,226.17,220.07,226.4,218.64,78.89,0.0458
09-09-2024,216.27,216.2,219.87,213.67,67.44,0.0263
06-09-2024,210.73,232.6,233.6,210.51,112.18,-0.0845
05-09-2024,230.17,223.49,235,222.25,119.36,0.049
04-09-2024,219.41,210.59,222.22,210.57,80.65,0.0418
03-09-2024,210.6,215.26,219.9,209.64,76.71,-0.0164
30-08-2024,214.11,208.63,214.57,207.03,63.37,0.038
29-08-2024,206.28,209.8,214.89,205.97,62.31,0.0026
28-08-2024,205.75,209.72,211.84,202.59,64.12,-0.0165
27-08-2024,209.21,213.25,215.66,206.94,62.82,-0.0188
26-08-2024,213.21,218.75,219.09,211.01,59.3,-0.0323
23-08-2024,220.32,214.46,221.48,214.21,81.53,0.0459
22-08-2024,210.66,223.82,224.8,210.32,79.51,-0.0565
21-08-2024,223.27,222.67,224.66,218.86,70.15,0.0098
20-08-2024,221.1,224.88,228.22,219.56,74,-0.0073
19-08-2024,222.72,217.07,222.98,214.09,76.44,0.0305
16-08-2024,216.12,211.15,219.8,210.8,88.77,0.0092
15-08-2024,214.14,205.02,215.88,204.82,89.85,0.0634
