Date,Price,Open,High,Low,Vol.(Millions),Change
30-12-2022,123.18,119.95,124.48,119.75,157.78,0.0112
29-12-2022,121.82,120.39,123.57,117.5,221.92,0.0808
28-12-2022,112.71,110.35,116.27,108.24,221.07,0.0331
27-12-2022,109.1,117.5,119.67,108.76,208.64,-0.1141
23-12-2022,123.15,126.37,128.62,121.02,166.99,-0.0176
22-12-2022,125.35,136,136.63,122.26,210.09,-0.0888
21-12-2022,137.57,139.34,141.26,135.89,145.42,-0.0017
20-12-2022,137.8,146.05,148.47,137.66,159.56,-0.0805
19-12-2022,149.87,154,155.25,145.82,139.39,-0.0024
16-12-2022,150.23,159.63,160.99,150.04,139.03,-0.0472
15-12-2022,157.67,153.44,160.93,153.28,122.33,0.0055
14-12-2022,156.8,159.25,161.62,155.31,140.68,-0.0258
13-12-2022,160.95,174.87,175.05,156.91,175.86,-0.0409
12-12-2022,167.82,176.1,177.37,167.52,109.79,-0.0627
09-12-2022,179.05,173.84,182.5,173.36,104.87,0.0323
08-12-2022,173.44,172.2,175.2,169.06,97.62,-0.0034
07-12-2022,174.04,175.03,179.38,172.22,84.21,-0.0321
06-12-2022,179.82,181.21,183.65,175.33,92.15,-0.0144
05-12-2022,182.45,189.44,191.27,180.55,93.12,-0.0637
02-12-2022,194.86,191.78,196.25,191.11,73.65,0.0008
30-11-2022,194.7,182.43,194.76,180.63,109.19,0.0767
29-11-2022,180.83,184.99,186.38,178.75,83.36,-0.0114
28-11-2022,182.92,179.96,188.5,179,93.04,0.0003
25-11-2022,182.86,185.06,185.2,180.63,50.67,-0.0019
23-11-2022,183.2,173.57,183.62,172.5,109.54,0.0782
22-11-2022,169.91,168.63,170.92,166.18,78.45,0.0122
21-11-2022,167.87,175.85,176.77,167.54,92.88,-0.0684
18-11-2022,180.19,185.05,185.19,176.55,76.05,-0.0163
17-11-2022,183.17,183.96,186.16,180.9,64.34,-0.0201
16-11-2022,186.92,191.51,192.57,185.66,66.57,-0.0386
15-11-2022,194.42,195.88,200.82,192.06,91.29,0.0182
14-11-2022,190.95,192.77,195.73,186.34,92.23,-0.0256
11-11-2022,195.97,186,196.52,182.59,114.4,0.0275
10-11-2022,190.72,189.9,191,180.03,132.7,0.0739
09-11-2022,177.59,190.77,195.89,177.12,127.06,-0.0717
08-11-2022,191.3,194.02,195.2,186.75,128.8,-0.0293
07-11-2022,197.08,208.65,208.9,196.66,93.92,-0.0501
04-11-2022,207.47,222.6,223.8,203.08,98.62,-0.0364
03-11-2022,215.31,211.36,221.2,210.14,56.54,0.0015
02-11-2022,214.98,226.04,227.87,214.82,63.07,-0.0564
01-11-2022,227.82,234.05,237.4,227.28,62.69,0.0012
31-10-2022,227.54,226.19,229.85,221.94,61.55,-0.0043
28-10-2022,228.52,225.4,228.86,216.35,69.15,0.0152
27-10-2022,225.09,229.77,233.81,222.85,61.64,0.002
26-10-2022,224.64,219.4,230.6,218.2,85.33,0.01
25-10-2022,222.41,210.1,224.35,210,96.51,0.0529
24-10-2022,211.25,205.82,213.5,198.59,100.45,-0.0149
21-10-2022,214.44,206.41,214.66,203.8,75.71,0.0345
20-10-2022,207.28,208.28,215.55,202,117.8,-0.0665
19-10-2022,222.04,219.8,222.93,217.78,66.57,0.0084
18-10-2022,220.19,229.5,229.82,217.25,75.89,0.0038
17-10-2022,219.35,210.04,221.86,209.45,79.43,0.0701
14-10-2022,204.99,224.01,226.26,204.16,94.13,-0.0755
13-10-2022,221.72,208.3,222.99,206.22,91.48,0.0206
12-10-2022,217.24,215.33,219.3,211.51,66.86,0.0034
11-10-2022,216.5,220.95,225.75,215,77.01,-0.029
10-10-2022,222.96,223.93,226.99,218.36,67.93,-0.0005
07-10-2022,223.07,233.93,234.57,222.02,83.92,-0.0632
06-10-2022,238.13,239.44,244.58,235.35,69.3,-0.0111
05-10-2022,240.81,245.01,246.67,233.27,86.98,-0.0346
04-10-2022,249.44,250.52,257.5,242.01,109.58,0.029
03-10-2022,242.4,254.5,255.16,241.01,98.36,-0.0861
30-09-2022,265.25,266.14,275.57,262.47,67.73,-0.011
29-09-2022,268.21,282.76,283.65,265.78,77.62,-0.0681
28-09-2022,287.81,283.08,289,277.57,54.67,0.0172
27-09-2022,282.94,283.84,288.67,277.51,61.93,0.0251
26-09-2022,276.01,271.83,284.09,270.31,58.08,0.0025
23-09-2022,275.33,283.09,284.5,272.82,63.75,-0.0459
22-09-2022,288.59,299.86,301.29,285.82,70.55,-0.0406
21-09-2022,300.8,308.29,313.8,300.63,62.56,-0.0257
20-09-2022,308.73,306.91,313.33,305.58,61.64,-0.0011
19-09-2022,309.07,300.09,309.84,297.8,60.23,0.0189
16-09-2022,303.35,299.61,303.71,295.6,87.09,-0.0013
15-09-2022,303.75,301.83,309.12,300.72,64.8,0.0038
14-09-2022,302.61,292.24,306,291.64,72.63,0.0359
13-09-2022,292.13,292.9,297.4,290.4,68.23,-0.0404
12-09-2022,304.42,300.72,305.49,300.4,48.68,0.0158
09-09-2022,299.68,291.67,299.85,291.24,54.47,0.036
08-09-2022,289.26,281.3,289.5,279.76,53.71,0.0196
07-09-2022,283.7,273.1,283.84,272.27,50.03,0.0338
06-09-2022,274.42,272.67,275.99,265.74,55.86,0.0156
02-09-2022,270.21,281.07,282.35,269.08,50.89,-0.0251
01-09-2022,277.16,272.58,277.58,266.15,54.29,0.0056
31-08-2022,275.61,280.62,281.25,271.81,52.11,-0.0075
30-08-2022,277.7,287.86,288.48,272.65,50.54,-0.025
29-08-2022,284.82,282.83,287.74,280.7,41.87,-0.0114
26-08-2022,288.09,297.43,302,287.47,57.16,-0.027
25-08-2022,296.07,302.36,302.96,291.6,53.23,-0.0035
24-08-2022,297.1,297.56,303.65,296.5,57.26,0.0022
23-08-2022,296.45,291.45,298.83,287.92,63.99,0.0226
22-08-2022,289.91,291.91,292.4,286.3,55.84,-0.0228
19-08-2022,296.67,299,300.36,292.5,61.4,-0.0205
18-08-2022,302.87,306,306.5,301.85,47.5,-0.0037
17-08-2022,304,303.4,309.66,300.03,68.77,-0.0084
16-08-2022,306.56,311.67,314.67,302.88,88.14,-0.0089
15-08-2022,309.32,301.79,313.13,301.23,89.36,0.031
12-08-2022,300.03,289.41,300.16,285.03,79.66,0.0468
11-08-2022,286.63,296.51,298.24,285.83,70.16,-0.0262
10-08-2022,294.36,297.07,297.51,283.37,94.92,0.0389
09-08-2022,283.33,290.29,292.4,279.35,86.25,-0.0244
08-08-2022,290.42,295,305.2,289.09,99.37,0.0078
05-08-2022,288.17,302.67,304.61,285.54,113.17,-0.0663
04-08-2022,308.63,311,313.61,305,72.26,0.004
03-08-2022,307.4,305,309.55,301.15,80.09,0.0227
02-08-2022,300.59,294,307.83,292.67,95.58,0.0111
01-08-2022,297.28,301.27,311.88,295,117.04,0.0004
29-07-2022,297.15,280.7,298.32,279.1,95.31,0.0578
28-07-2022,280.9,280.07,283.3,272.8,84.72,0.0221
27-07-2022,274.82,263.81,275.93,261.79,88.11,0.0617
26-07-2022,258.86,266.51,267.31,256.26,66.82,-0.0357
25-07-2022,268.43,272.22,274.15,267.4,64.07,-0.014
22-07-2022,272.24,276.22,280.79,270.71,103.47,0.002
21-07-2022,271.71,255.11,273.27,254.87,142.03,0.0978
20-07-2022,247.5,246.78,250.66,243.48,88.86,0.008
19-07-2022,245.53,245,247.14,236.98,80.89,0.0207
18-07-2022,240.55,244.94,250.52,239.6,82.54,0.002
