2022,,2023,,,,,,,,,,,,2024,,,,,,,,,
Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct
109.19,157.78,196.81,153.14,170.22,122.52,150.71,112.62,84.58,108.86,128.52,118.07,132.35,100.89,103.22,85.91,77.66,127.03,67.32,95.44,67.5,63.37,80.87,66.58
83.36,221.92,230.88,161.03,110.25,127.02,128.82,131.28,111.45,121.99,117.06,136.45,135.4,113.62,109.98,99.81,81.8,243.87,77.79,72.75,100.56,62.31,70.99,53.99
93.04,221.07,306.59,142.23,123.66,153.36,162.06,159.77,103.7,134.05,136.6,94.88,148.55,106.49,125.01,108.65,113.19,109.82,54.78,95.74,129.2,64.12,67.14,80.52
50.67,208.64,234.82,146.36,98.66,122,96.87,164.97,95.86,107.67,101.99,115.11,112.03,86.89,107.34,111.75,74.23,126.43,59.74,63.68,94.6,62.82,65.03,107.65
109.54,166.99,192.73,191.83,120.85,140.01,137.6,179.99,112.76,106.61,104.64,107.07,65.13,93.37,198.08,78.84,75.58,181.18,65.58,61.99,100.64,59.3,88.49,161.61
78.45,210.09,158.7,180.02,116.53,123.54,156.95,177.46,137,99.78,127.52,118.23,118.12,109.59,123.37,92.74,73.18,124.55,71.98,63.03,167.94,81.53,86.93,204.49
92.88,145.42,203.12,213.74,144.19,210.97,132,166.88,161.8,101.08,119.95,150.68,122.29,125.1,106.61,103.84,83.85,107.1,88.31,55.89,111.93,79.51,99.88,80.94
76.05,159.56,138.86,229.59,150.38,125.73,136.2,211.8,175.16,130.6,122.52,138.01,116.56,106.74,117.95,104.55,77.27,87.08,115.27,68.98,101.23,70.15,102.7,43.27
64.34,139.39,170.29,182.11,153.39,92.07,109.52,165.61,142.36,135.7,103.7,170.77,142.77,116.42,102.26,111.35,108.21,96.1,61.73,109.79,87.4,74,78.01,47.33
66.57,139.03,195.68,216.46,129.68,116.66,125.47,167.92,112.44,136.28,101.54,125.15,136.82,135.93,108.6,120.83,97.15,82.44,77.45,82.04,110.87,76.44,66.76,49.61
91.29,122.33,186.48,172.48,133.2,96.44,98.29,160.17,131.57,120.72,133.69,93.56,150.35,160.83,103.16,81.2,126.33,97,59.81,118.98,115.59,88.77,54.32,50.79
92.23,140.68,180.71,204.75,121.37,112.93,105.59,170.58,120.06,112.49,107.71,88.92,149.77,146.29,115.36,86.76,106.53,100.25,79.66,90.39,126.33,89.85,59.52,49.63
114.4,175.86,169.4,215.43,146,150.26,157.85,162.38,112.68,88.2,111.67,102.3,140.45,95.33,123.04,95.5,87.39,64.72,86.41,64.76,146.91,70.25,72.02,62.99
132.7,109.79,183.81,180.67,143.72,115.77,103.89,150.74,95.67,98.6,136,111.51,131.31,97.91,105.87,84.48,85.39,94.52,67.02,50.87,155.96,76.25,83.55,86.29
127.06,104.87,167.64,186.01,167.79,142.16,119.84,200.24,91.97,99.04,174.67,103.71,142.11,103.13,91.63,83.03,85.55,84.53,72.63,56.25,221.71,64.05,78.89,142.63
128.8,97.62,190.28,186.19,191.49,123.86,88.97,164.49,119.43,109.5,118.56,122.66,106.59,107.14,96.71,111.54,102.13,103.23,65.95,69.89,128.52,58.65,67.44,83.09
93.92,84.21,220.91,232.66,170.02,133.88,112.25,185.71,113.88,101.6,115.31,101.38,116.9,126.44,85.17,122.68,107.92,104.42,79.97,57.95,160.74,65.03,112.18,66.29
98.62,92.15,157.99,217.45,151.9,126.46,107.61,146.91,120.71,96.64,116.96,118.12,117.34,137.97,92.49,134.29,119.66,143.16,75.05,60.06,157.22,71.16,119.36,56.3
56.54,93.12,180.39,213.81,148.13,169.55,95.11,151.14,131.53,111.1,129.47,119.16,119.54,104.1,102.63,110.61,134.34,123.16,84.39,68.57,154.5,73.78,80.65,68.11
63.07,73.65,231.4,,128.1,,119.73,164.4,119.69,99.54,132.54,129.72,125.99,121.33,121.08,91.84,82.24,82.95,75.49,,166.56,100.31,76.71,86.73
62.69,,,,154.19,,128.26,148.03,,97.83,,101.99,121.66,,104.65,,,116.65,89.15,,205.05,82.88,,80.73
,,,,181.98,,109.02,,,101.75,,123.81,,,,,,81.56,92.83,,135.69,83.86,,93.98
,,,,156.85,,,,,83.65,,,,,,,,,,,,,,87.4
