Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
14.88,14.13,13.56,12.82,15.65,16.77,18.17,17.78,16.4,16.57,14.39,15.87,15.43,13.3,13.06,16.53,16.21,14.83,14.55,15.78,14.07,14.38,13.23,12.57,14.69,16.88,16.89,19.93,21.82,22.99,24.76,21.63,23.84,22.91,22.17,20.69,21.47,23.98,23.24,17.36,20.05,19.46,24.32,20.2,19.88,20.76,23.19,24.4,21.01,21.07,20.48,19.28,16,12.45,15.54,16.3,15.26,16.4,21.1,22.43,28.71,52.41,49.58,34.26,51.52,59.93,75.69,100.65,167.5,149.63,191.33,199.28,248.16,280.67,239.67,230.81,235.33,211.27,229.33,242.31,247.33,260.26,403.25,390.95,400.36,314.57,296.63,364.92,302.12,257.33,230.23,311.88,277.58,255.16,237.4,196.25,118.8,183.8,207.2,202.69,163.28,209.8,284.25,266.47,259.08,254.28,205.99,240.19,251.25,189.88,204.52,176.75,185.86,198.72,213.23,231.87,219.9,263.98,248.9
14.43,14.69,13.35,12.88,15.97,16.63,18.83,17.78,16.53,16.51,14.3,15.91,15.13,12.87,12.57,16.81,15.93,14.66,14.3,15.32,13.55,14.22,12.85,12.33,15.2,16.83,16.79,20.32,21.84,22.86,23.15,21.81,23.7,23.24,20.58,20.55,21.68,23.46,22.35,18.22,20.46,19.93,22.17,23.33,19.12,21.12,23.28,24.58,20.63,21.02,19.93,19.3,16.48,12.93,15.28,15.75,15.23,16.31,21.46,22.53,30.27,64.6,53.8,32.95,50.8,60.58,81.87,101.83,159.68,146.38,199.59,190.51,246.95,293.5,240.37,236.05,227.82,207.79,233.33,240.88,246.99,268.99,402.86,371,402.67,310.5,295.49,383.3,308.03,264.21,233.15,307.83,282.35,257.5,227.87,191.27,114.59,196.75,193.75,198.74,165.49,217.25,283.85,259.52,258,250.02,219.2,239.37,245.68,188.69,199.75,167.69,184.6,203.2,231.3,216.13,222.22,251.16,255.28
14.28,14.77,13.5,13.85,15.63,16.71,18.78,18.07,16.81,16.66,15.52,15.83,14.67,12.26,13.16,17.1,15.63,14.73,14.35,15.31,13.55,14.21,12.76,12.59,15.17,16.81,16.78,20.33,21.44,23.23,21.39,23.33,23.4,23.91,20.42,20.53,21.24,22.96,22.52,19.22,19.2,19.85,20.96,23.67,19.41,20.31,22.93,24.49,21.2,21.5,18.93,19.74,17.11,13.42,16.1,15.42,15.32,15.63,21.57,22.52,30.1,56.4,51.1,34.37,53.26,59.86,91.85,99.99,143.93,144.55,202.6,199.66,258,292.69,233.57,232.18,228.43,201.52,228,241.63,244.67,265.77,405.13,363.52,390.11,312.33,295.48,384.29,318.5,247.8,234.56,309.55,275.99,246.67,221.2,183.65,111.75,199,200.48,190.68,165,221.29,279.97,260.49,255.39,261.86,226.37,246.66,242.7,184.68,184.59,168.82,184.78,182.64,248.35,203.88,235,249.79,289.59
14.32,15.03,13.75,13.67,15.83,16.62,18.35,17,16.27,16.2,15.64,15.55,14.56,11.73,13.6,17.85,15.24,15.63,14.54,15.39,13.77,13.61,12.9,12.44,15.35,17.19,16.93,20.13,20.52,23.97,21.13,23.82,23.5,23.83,20.5,20.89,21.15,22.41,22.42,20.42,19.79,21.48,20.8,23.67,17.89,19.6,23.25,25.3,22.45,21.62,18.77,18.08,17.22,14.07,15.7,15.5,15.31,15.65,21.78,22.29,31.44,53.06,49.72,34.73,52.65,59.72,95.3,101.15,142.67,142.93,135.66,199.68,272.33,285.5,222.82,230.46,227.01,200.2,221.9,240.32,253.4,262.22,414.5,340.55,362.67,312.17,285.22,359.67,315.2,244.87,245.36,313.61,283.84,244.58,223.8,179.38,114.39,198.17,198.6,186.39,162.95,221.91,280.78,264.77,252.81,263.6,226.32,246.57,240.12,186.49,181.58,177.19,187.56,177.76,252.37,202.9,233.6,250.96,299.75
14.25,14.89,13.38,14.06,15.89,16.65,17.39,16.25,16.61,15.85,15.56,15.71,14.7,11.53,13.98,17.96,14.42,16.06,14.65,15.47,13.33,13.42,12.95,12.89,15.46,17.33,16.67,20.18,20.57,24.03,21.2,23.97,23.32,24.01,20.43,21.24,22.47,23.07,22.17,20.62,20.4,22,21.23,25.83,19.07,18.33,23.41,24.4,22.93,20.98,18.98,18.41,17.15,14.06,15.48,15.57,15.58,15.9,22.77,22.59,33.23,51.32,47.13,37.67,53.09,59.1,94.48,99.98,122.91,143.3,142.59,216.26,294.83,288.26,209.28,229.85,230,203.33,218.14,238.78,254.82,268.33,413.29,352.56,360.31,315.92,288.71,358.86,296,240,254.98,304.61,289.5,234.57,208.9,175.2,123.52,197.5,194.2,185.1,170.79,230.83,277.52,253.65,256.52,261.65,223.12,244.08,241.25,189.79,180.04,170.86,183.26,176.15,259.44,203.49,219.87,249.83,328.71
14,14.53,12.97,14.02,16.19,17.25,17.53,16.2,16.95,15.38,15.53,15.25,14.3,10.48,13.83,17.39,14.41,15.69,15.12,15.31,13.33,13.61,13.17,12.83,15.47,17.56,16.58,20.92,20.92,24.79,21.82,24.57,24.25,23.45,20.46,21.13,22.59,23.24,22.22,20.63,20.52,21.63,21.85,25.51,18.8,17.85,23.84,24.81,22.9,20.5,19.04,18.74,16.71,14.46,15.4,15.99,15.7,16.26,22.5,22.96,33.25,54.67,44.2,37.15,54.93,63.33,93.9,97.17,123,146.33,145.13,217.09,284.81,292.59,206.71,226.99,221.68,207.7,219.64,239.68,254.03,265.46,399,357.46,353.03,308.76,283.33,349.48,281.88,249.96,253.06,305.2,299.85,226.99,195.2,182.5,122.76,203,186.5,189.19,173.8,235.23,270.9,250.92,274.85,261.36,224.15,245.27,238.96,191.62,182.73,174.5,176.06,179.73,265.61,200.7,226.4,246.21,358.64
13.63,14.7,12.9,14.11,16.42,17.18,17.53,15.95,16.71,14.96,14.91,15.17,14.25,10.65,13.96,17.27,13.96,15.2,15.17,15.44,13.42,13.48,12.8,12.92,15.38,18.08,16.43,20.9,21.47,25.12,22.21,24.67,24.58,23.71,20.3,21.93,22.47,21.4,21.9,20.47,20.47,22.31,21.46,24.47,19.5,17.78,23.6,24.79,23.03,21.24,19.42,18.33,16.25,14.73,15.93,15.93,16.54,16.49,23.28,23.38,32.33,52.23,44.53,38.35,54.93,63.63,103.26,94.67,133,144.86,146.67,218.11,289.33,286.6,226.03,234.93,209.03,203.93,229.08,238.86,254.2,267.08,391.5,354.16,358.62,315.42,286.85,336.16,275.12,255.55,239.77,292.4,305.49,225.75,195.89,177.37,125.95,214,185.18,191.58,169.82,252.42,276.52,251.1,278.39,268.94,220.8,243.44,235.5,194.12,182.87,179.22,175.62,179.35,267.59,200.88,228.47,247.43,345.84
13.84,14.32,13.08,14.2,16.55,16.93,17.5,15.98,16.68,14.87,14.63,15.23,14.18,10.33,14.22,16.79,14.37,15.05,15.04,15.32,13.23,13.59,12.77,12.96,15.86,18.72,16.46,20.56,21.7,24.3,22.11,24.44,24.54,23.84,21.12,22.76,22.99,21.21,23.15,20.6,20.87,23.66,21.55,24,19.67,17.7,23.32,25.16,23.23,21.21,19.2,18.56,16.13,14.89,16.1,15.72,16.9,16.62,23.36,23.81,35.04,52.65,43.57,43.47,56.22,68.5,119.67,105.67,127.5,149.58,145.52,209.25,286.82,281.61,239.28,254.33,206.8,205.53,231.09,238.39,248.26,270.77,359.37,340.33,371.61,314.6,284.82,340.4,269.92,239.5,242.06,297.51,297.4,219.3,191,175.05,124.13,206.2,178.29,186.5,174.43,250.97,279.45,251.8,274.98,268.6,215.38,238.99,230.93,194.73,179.43,174.93,173.06,178.57,271,199.26,231.45,242.79,344.6
13.01,13.54,12.96,13.97,16.33,16.96,17.73,16.43,16.95,14.83,14.6,15.05,14,10.88,13.96,17.03,14.11,14.81,15,15.17,13.19,13.39,12.59,13.42,16,19.16,17.21,20.49,21.73,25.07,21.89,24.08,25.2,23.99,21.09,22.95,22.69,21.61,23.01,20.26,20.59,23.15,21.31,24.21,19.82,17.48,22.98,25.19,22.83,20.85,19.47,18.03,15.5,14.33,16.36,15.73,16.56,16.74,23.76,24.18,36.49,54.53,39.63,49.46,55.07,67.93,106,110.08,140,149.63,150.83,208,287.67,276.63,234.17,260.26,202.15,204.19,226.2,240.93,251.49,271.8,368.32,335,371.87,305.32,281.27,342.08,253.22,226.63,238.65,298.24,306,222.99,196.52,161.62,122.63,196.3,177.35,186.28,173.57,259.68,285.3,243.79,276.71,265.41,225.4,240.3,225.34,187.26,176.05,175.88,175.4,174.75,251.84,208.49,232.67,223.34,254
13.05,13.73,12.78,13.97,16.63,16.9,17.83,16.53,16.97,14.73,14.2,14.73,13.67,10.47,14.45,17.12,14.08,14.79,14.85,15.11,13.5,13.43,12.55,13.53,15.98,18.82,17.4,20.27,21.8,25.62,21.81,24.51,25.33,23.9,20.83,23.16,23,21.74,22.65,20.26,20.33,23.92,21.01,23.95,20.06,17.47,23.14,24.38,23.25,20.45,19.69,18.13,15.63,14.44,16.96,15.43,16.5,17.24,23.59,24.35,35.86,54.2,40.5,50.21,53.56,65.87,103.33,111.25,153.98,155.3,140.03,214.25,286.63,272.44,231.63,247.9,197.62,208.5,222.05,243.3,252.29,273.42,351.5,322.14,350.67,299.63,266.9,337.57,262.45,226.33,243.62,300.16,309.12,226.26,195.73,160.93,131.7,209.82,183.8,189.69,177.38,261.57,292.23,240.66,278.98,259.6,238.13,253.88,223.49,188.89,171.17,173.81,179.49,180.55,265.6,208.44,229.96,221.91,329.98
