Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
14.22,13.55,13.05,12.4,15.14,16.5,17.86,17.14,15.8,15.81,13.81,15.4,14.6,12.18,12.18,15.55,15.65,14.46,13.73,15.29,13.37,13.88,12.54,12.07,14.06,16.6,16.55,18.97,20.99,22.49,23.43,21.08,23.58,22.37,21.35,20.34,20.73,23.24,22,16.31,19.55,18.92,21.99,19.53,19.2,20.07,22.31,23.47,19.92,20.23,19.46,18.75,15.43,11.8,15.09,15.45,14.88,15.94,20.65,21.91,28.11,44.9,45.78,31.67,45.54,56.94,72.03,96.29,156.84,144.81,181.79,190.68,239.06,265.19,228.35,219.81,226.83,206.85,224.27,232.8,243.76,254.53,372.89,363.59,378.68,301.67,284.59,355.55,282.68,243.64,222.12,295,266.15,241.01,227.28,191.11,104.64,169.93,198.52,192.2,158.83,199.37,275.11,260.25,242.01,242.62,197.85,231.9,244.41,184.28,198.5,170.21,179.01,194.05,200.85,214.33,209.64,248.53,238.88
13.81,14.08,13.02,12.67,15.28,16.42,18.22,17.22,15.99,15.66,13.85,15.42,14.67,12.02,12.1,16.24,15.44,14.47,13.87,14.76,13.08,13.92,12.5,12,14.29,16.51,16.6,19.64,21.1,22.4,21.76,20.75,23.06,22.09,19.51,20.04,21.04,22.7,21.53,16.97,19.85,19.57,20.65,21.54,18.48,19.94,22.73,23.47,19.83,20.13,18.85,18.93,15.85,11.97,14.81,15.28,14.61,15.96,20.62,22.15,29.13,55.59,47.74,29.76,46.53,58.07,79.04,97.47,135.04,138.33,192.82,180.4,239.73,280.73,228.33,228.23,219.23,199.71,224.42,233.67,243.51,258.71,382,352.22,374.35,296.47,281.42,357.51,296.2,242.07,216.17,292.67,269.08,242.01,214.82,180.55,107.52,182.61,186.01,190.32,158.93,209.75,277.6,250.49,244.86,244.45,211.45,233.29,236.32,182,186.72,163.43,176.02,195.26,218.06,205.78,210.57,241.5,246.21
13.61,14.45,13.15,13.17,15.21,16.47,18.42,17.36,16.33,16.28,15.01,15.33,14.4,11.35,12.28,16,14.69,14.36,13.93,14.95,13.27,13.87,12.47,12.17,14.8,16.65,16.5,19.61,20.7,22.28,20.42,22.88,22.77,23.31,19.68,20.07,20.38,22.2,21.95,16.8,18.35,19.12,19.75,22.84,18.59,19.44,22.01,23.38,20.18,20.82,18.01,19.14,16.23,12.79,15.63,15.05,14.72,14.95,21.07,22.19,29.33,46.94,48.32,31.23,50.81,58.67,84.4,97.89,134,139.78,184.84,194.14,249.7,284.35,217.23,227.12,222.45,190.41,217.13,236.31,241.4,258.07,384.21,333.4,360.34,293.51,277.53,362.43,295.09,233.42,227.19,301.15,265.74,233.27,210.14,175.33,107.16,183.69,192.88,183.76,159.91,214.52,272.88,252,245.06,247.6,218.4,233.7,237.73,175.01,177.57,163.28,178.42,174.49,234.25,182,222.25,237.81,275.62
13.99,14.64,13.34,13.41,14.68,16.38,17.38,15.74,15.88,15.71,15.28,15.18,14.24,11.13,13.17,16.9,13.99,14.77,14.2,14.8,13.38,13.35,12.4,12.18,15.03,16.71,16.55,19.61,19.38,22.66,20.49,22.89,22.9,23.42,19.93,20,20.8,21.57,21.8,19.21,18.63,19.83,20.13,22.79,16.82,18.51,22.41,23.84,21.18,21.04,18.29,17.37,16.57,13.45,15.39,15.05,15.01,15.2,20.97,21.82,30.22,45.8,47.87,33.2,50.74,57.23,89.11,98.48,124.01,135.35,130.77,195.17,258.4,277.81,200,222.61,216.67,192.4,212.77,237.14,246.42,257.74,405.67,316.83,340.17,293.72,275.05,342.57,285.9,234.35,232.21,305,272.27,235.35,203.08,172.22,101.81,189.92,192.3,179.74,159.65,212.53,273.77,253.11,243.26,256.25,215,239.17,234.9,177.11,173.7,168.01,182.2,174,242.46,192.67,210.51,244.58,285.52
14,14.43,12.81,13.72,15.58,16.38,16.95,15.89,16.27,15.27,15.3,15.08,14.05,10.52,13.16,16.97,13.87,15.51,14.3,15.16,13.09,13.05,12.67,12.33,15.2,17.09,16.35,19.81,19.79,23.68,20.21,23.52,22.82,23.48,20,20.74,21.03,22.38,21.45,19.7,19.68,20.91,20.53,22.61,18.07,17.33,22.72,23.54,21.8,20.2,18.28,17.74,16.34,13.57,15.24,15.05,15.28,15.24,21.87,22.32,31.22,48.67,45.62,35.49,51.49,57.75,87.42,94.33,109.96,137.95,135.56,201.02,279.46,279.66,179.83,223.88,220.07,194.29,206.82,232.54,246.92,261.13,402.67,342.27,336.67,300.9,268.19,340.51,281.03,230.09,241.16,285.54,279.76,222.02,196.66,169.06,117.11,189.55,186.1,176.11,163.51,223.2,265.1,242.76,246.67,250.65,215.72,236.98,235.3,182.68,173.7,160.51,177.4,172.13,244.57,191.48,213.67,240.7,297.66
13.66,14.13,12.55,13.74,15.69,16.69,17.12,15.74,16.55,14.75,14.95,14.95,13.53,9.73,13.48,16.53,13.79,15.14,14.63,15.07,12.91,13.31,12.75,12.64,15.13,17.08,16.2,20.58,20.39,24.01,20.95,23.83,23.33,22.84,20.09,20.75,21.83,20.97,21.75,19.28,19.93,21.14,21.28,24.47,18.24,16.6,23.23,24.02,22.1,19.9,18.39,18.03,16.28,13.93,15.15,15.51,15.26,15.63,22.17,22.34,31.52,50.16,40.33,35.56,52.47,60.61,90.09,92.39,113.84,141.77,139.03,206.17,267.87,284.92,186.26,223.14,209.2,198.5,214.9,235.04,250.54,260.3,377.67,344.33,326.67,298.27,260.72,340.81,260.38,239.18,233.63,289.09,291.24,218.36,186.75,173.36,114.92,194.31,180,185.65,169.19,223.01,266.37,245.01,260.61,252.05,217.64,239.27,232.04,185.58,174.7,167.79,170.15,172.73,250.3,192.04,218.64,240.56,336
13.28,14.33,12.51,13.93,15.88,16.94,17.19,15.63,16.36,14.56,14.41,14.71,13.69,9.4,13.52,16.35,13.67,14.56,14.88,15.11,12.94,13.22,12.26,12.72,15.04,17.74,16.2,20.37,20.61,23.65,21.63,23.93,24.03,23.04,19.75,20.92,22,19.65,21.49,19.58,20,21.5,21,23.05,18.58,16.89,23.02,24.34,22.12,20.7,18.7,17.97,15.8,14.23,15.54,15.59,15.73,16.04,22.8,22.62,31.58,50.53,40.53,37.14,52.33,61.6,91.73,91,120.19,142.15,141.33,196,275.78,280.58,198.4,227.36,198.53,199.21,220.72,233.96,244.84,261.83,337.17,334.12,346.27,306.67,277.34,324.88,258.08,239.33,228.37,279.35,300.4,215,177.12,167.52,120.51,204.77,172.51,180.31,166.56,242.02,271.46,241.9,266.6,257.65,206.68,237.45,231.29,189.48,174.8,171.92,171.37,175.58,257.86,195.11,216.8,239.51,323.31
13.39,13.82,12.73,13.94,16.15,16.57,17.07,15.52,16.32,14.35,14.24,14.91,13.33,9.45,13.38,16.24,13.74,14.51,14.69,14.97,12.9,13.36,12.03,12.74,15.31,18.03,16.19,19.75,21.21,23.37,21.33,23.64,23.97,23.41,19.94,22,22.22,20.42,21.77,19.98,20.27,22.53,20.85,23.07,19.01,16.52,22.02,24.45,22.58,20.64,18.74,18.19,15.73,13.93,15.72,15.25,16.29,16.11,22.94,23.41,32.8,50.89,40.87,38.7,53.87,65.5,98.07,95.67,120.17,146.19,141.43,188.78,277.33,266.67,218.35,236.89,195.59,200.17,222.1,234.74,236.28,265.52,329.1,327.51,357.53,298.9,270.12,325.53,242.4,227.91,225.03,283.37,290.4,211.51,180.03,156.91,117,192.89,168.44,180.94,166.68,244.59,270.6,243,268.1,260.9,205.69,233.87,225.37,187.28,172.41,170.01,167.75,173.17,239.65,194.67,223.83,232.34,322.5
12.33,12.89,12.65,13.7,16.08,16.7,17.37,15.94,16.64,14.08,14.18,14.44,12.89,9.8,13.69,16.49,13.58,14.17,14.74,14.89,12.99,13.14,12.2,12.87,15.62,18.57,16.4,19.69,21.31,24.44,21.41,23.57,24.18,23.51,20.46,22.43,22.24,20.83,22.42,19.58,19.94,22.65,20.62,23.27,19.1,16.6,22.15,24.29,22.27,20.37,18.85,17.71,14.97,13.83,15.98,15.17,16.32,16.45,23.01,23.55,34.99,49,36.42,46.16,50.89,64.8,95.4,104.48,124.43,145.53,140.33,198.93,279.58,267.24,225.73,242.68,186.55,200.51,217.61,233.13,245.47,268.59,351.56,317.14,342.18,283.57,264.59,324.37,226.67,214.68,229.33,285.83,291.64,206.22,182.59,155.31,115.6,187.61,163.91,182.01,166.79,251.34,276.31,238.02,270.42,256.63,211.61,228.2,217.15,182.11,169.15,168.51,169,167.41,233.09,197.06,226.32,214.38,246.63
12.67,13.39,12.49,13.77,16.17,16.68,17.47,16.12,16.63,14.36,13.77,14.32,13.15,9.58,14.04,16.74,13.78,14.34,14.64,14.94,13.09,13.09,11.88,13.12,15.71,18.43,16.95,19.91,21.44,25.09,20.9,24.17,24.85,23.58,20.1,22.46,22.32,21.23,21.6,19.73,19.44,23.11,20.42,23.14,19.21,16.8,22.48,22.93,22.3,20.07,19.22,17.79,15.2,14.03,16.32,14.45,16.08,16.48,22.86,23.64,34.45,52.37,33.47,47.33,50.93,60.84,97.13,108.44,143.57,149.12,132.01,203.4,273.03,261.78,222.05,240.44,190.15,203.06,212.63,238.11,246.12,271.12,339.73,310,337.79,284.38,252.01,327.4,250.52,211.74,236.89,285.03,300.72,204.16,186.34,153.28,125.02,189.44,177.14,182.69,167.23,250.5,283.57,233.75,271,250.22,230.72,240.79,212.18,183.35,160.51,170.36,174.07,169.8,251.73,198.75,223.53,213.74,310.37
