Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
71.47,62.24,118.83,56.92,66.52,37.58,31.52,38.3,81.82,68.59,58.92,56.01,102.41,79.46,100.68,239.96,57.66,44.74,81,60.24,119.15,90,105.9,76.9,88.85,59.38,50.28,208.33,132.44,114.12,94.58,124.55,45.74,79.3,126.86,64.39,65.28,62.97,103.28,241.71,69.38,81.37,281.4,151.94,125.26,326.66,120,124.6,174.88,109.25,343.67,121.66,160.57,195.97,123.57,123.89,80.41,92.94,95.76,91.23,143.38,708.5,302.93,200.3,487.98,226.28,199.9,132.14,270.36,152.22,146.79,121.15,145.91,76.17,81.41,105.9,81.13,54.25,55.9,100.85,39.61,51.09,168.15,68.8,104.69,73.14,74.77,54.26,75.78,77.25,74.46,117.04,54.29,98.36,62.69,73.65,231.4,213.81,156.85,169.55,109.02,148.03,119.69,83.65,132.54,123.81,121.66,121.33,104.65,91.84,82.24,81.56,92.83,72.75,135.69,83.86,76.71,87.4,68.8
80.53,72.39,66.49,75.16,86.95,32.02,107.46,35.29,69.44,66.36,124.99,44.72,47.8,86.6,72.94,202.13,64.53,30.49,77.63,59.02,89.66,53.12,63.8,60.63,168.2,37.5,43.94,152.02,80.74,83.85,255.7,196.37,57.73,152.3,296.87,87.53,67.82,55.57,76.39,282.67,134.56,71.97,184.24,348.22,115.81,176.15,117.12,126.93,104.48,110.28,256.45,82.18,272.39,207.11,138.89,92.05,86.53,93.85,131.81,99.2,266.92,914.08,386.76,297.88,288.56,203.48,258.75,126.22,288.53,214.29,112.68,143.33,96.74,73.04,71.2,125.53,89.22,69.91,81.29,64.86,38.39,91.45,128.21,73.11,100.25,66.79,74.64,82.18,63.71,93.47,84.78,95.58,50.89,109.58,63.07,93.12,180.39,217.45,181.98,126.46,128.26,164.4,131.53,101.75,129.47,101.99,125.99,104.1,121.08,110.61,134.34,116.65,89.15,95.44,205.05,82.88,80.65,93.98,69.28
93.93,49.58,63.33,186.84,79.06,26.72,61.83,93.21,62.92,55.35,190.9,44.09,56.69,118.97,72.44,149.23,130.51,33.74,73.8,58.32,65.86,28.16,39.8,61.08,88.68,32.8,50.33,118.21,107,101.77,289.87,203.03,61.37,122.45,133.41,69.7,149.19,66.96,57.36,298.45,260.28,89.93,262.15,204.85,112.21,119.92,117.47,117.64,110.91,101.14,281.47,118.95,355.6,202.66,213.02,105.42,111.05,227.07,104.15,83.04,152.36,726.36,225.73,338.43,254.88,119.24,308.55,74.67,262.79,134.17,189.01,127.66,134.1,55.03,90.62,84.82,65.71,90.34,69.85,51.01,45.81,55.3,103.89,92.32,80.12,78.86,61.62,80.08,81.64,112.39,71.85,80.09,55.86,86.98,56.54,92.15,157.99,232.66,154.19,133.88,119.73,151.14,120.71,97.83,116.96,129.72,119.54,137.97,102.63,134.29,119.66,82.95,75.49,68.57,166.56,100.31,119.36,80.73,165.23
44.53,52.84,73.16,65.22,141.84,36.8,91.58,219.36,55.34,78.54,67.45,38.6,53.31,65.78,97.34,175.58,168.82,93.2,54.18,62.21,54.61,70.55,77.19,50.87,82.92,53.44,51.89,82.81,212.28,166.3,212.65,139.03,63.59,62.58,97.29,107.93,68.87,76.33,64.29,286.82,128.54,281.51,132.98,128.47,337.38,147.21,101.44,172.67,113.27,75.58,155.03,355.81,162.51,303.63,105.99,83.46,62.84,120.32,119.11,56.05,273.14,598.21,162.79,223.53,166.85,133.32,322.35,89.88,330.97,147.44,87.06,88.2,154.5,47.44,197.76,78.93,83.35,72.11,56.38,38.76,60.12,43.9,76.19,81.66,90.34,73.63,67.18,89.35,92.52,84.21,81.93,72.26,50.03,69.3,98.62,84.21,220.91,186.19,128.1,123.86,95.11,146.91,113.88,99.54,115.31,119.16,117.34,126.44,92.49,122.68,107.92,123.16,84.39,60.06,154.5,73.78,112.18,86.73,117.31
51.64,48.66,100.69,94.55,70.02,45.33,93.32,76.1,47.07,102.21,36.68,47.16,54.42,141.56,80.06,132.84,85.28,89.58,61.12,48.08,50.67,52.4,58.05,81.93,59.69,63.67,55.93,68.69,122.66,140.97,207.31,94.87,48.95,64.46,79.41,71.71,147.89,104.54,75.11,202.8,130.17,215.18,113.95,463.14,214.25,269.17,110.62,99.2,105.13,97.81,141.64,195.57,151.97,240.05,88.21,71.65,72.04,121.3,217.01,114.28,467.99,255.95,189.94,268.8,172.92,117.18,244.67,133.45,346.4,129.38,103.06,168.93,225.17,55.7,268.19,71.77,70.41,67.63,68.32,46.87,56.38,57.59,64.89,56.08,84.16,60.99,72.49,79.45,72.9,72.81,101.85,113.17,53.71,83.92,93.92,97.62,190.28,186.01,148.13,142.16,107.61,185.71,119.43,111.1,118.56,118.12,116.9,107.14,85.17,111.54,102.13,143.16,75.05,57.95,157.22,71.16,67.44,68.11,204.78
70.02,52.09,101.05,57,85.08,75.26,50.01,62.79,50.86,92,57.76,40.31,61.37,139.69,62.68,110.46,71.65,67.38,81.45,33.95,56.35,49.74,49.01,47.91,54.9,59,58.19,114.97,105.1,135.92,173.39,111.75,115.01,112.4,70.88,52.03,107.2,154.72,53.49,153.75,88.95,123.08,142.07,368.57,137.55,202.09,106.36,94.63,81.49,87.66,132.29,156.16,92.65,158.78,92.86,79.12,73.26,130.54,91.11,135.6,426.95,370.34,256.11,189.84,241.95,212.62,175.76,112.83,238.4,121.26,96.43,192.8,178.66,60.49,155.36,64.31,94.18,78.16,54.42,44.15,42.23,50.22,100.34,41.91,91.81,50.73,80.4,55.01,90.81,76.21,99.51,99.37,54.47,67.93,128.8,104.87,167.64,180.67,151.9,115.77,112.25,164.49,91.97,96.64,174.67,101.38,106.59,103.13,96.71,83.03,85.55,104.42,79.97,69.89,160.74,65.03,78.89,56.3,210.52
89.25,80.86,83.7,61.02,95.45,39.17,39.16,63.97,40.64,92.38,69.26,45.87,46.38,129.77,48.13,137.43,61.06,90.4,68.64,33.12,55.73,34.93,122.6,40.84,56.85,117.3,45.99,85.87,145.15,258.92,155.19,103.38,89.59,104.68,81.71,119.07,64.65,194.01,82.6,165.36,85.91,197.75,73.26,257.76,150.23,180.91,76.48,75.41,90.85,106.95,110.88,88.56,100.67,174.8,137.19,58.47,150.64,104.03,149.91,132.6,194.65,175.46,233.92,204.75,247.79,170.82,350.06,129.39,254.79,86.78,85.24,213.87,138.81,45.47,202.57,87.41,139.51,49.75,77.78,40.3,45.55,42.6,177.32,59.44,66.06,52.26,59.18,59.36,84.4,96.49,87.93,86.25,48.68,77.01,127.06,109.79,183.81,215.43,170.02,150.26,88.97,200.24,95.67,101.6,136,122.66,142.11,97.91,91.63,84.48,85.39,103.23,65.95,56.25,128.52,58.65,83.55,66.29,155.73
67.16,146.54,74.62,56.37,81.6,51.82,44.4,56.09,35.26,57.54,50.22,31.08,61.9,156.1,77.89,86.45,77.43,62.9,53.51,35.07,53.84,29.56,101.26,36.58,91.39,105.44,45.34,90.76,86.12,157.77,128.92,106.39,62.78,67.51,113.77,131,99.68,93.42,123.96,112.24,84.77,335.21,85.82,173.28,95.11,192.23,104.12,110.49,75.59,82.76,112.56,105.92,105.13,227.96,112.72,69.96,128.72,94.7,110.39,103.79,399.52,180.34,201.2,337.13,238.6,278.45,584.78,328.48,182.15,116.37,65.12,201.25,99.94,108.65,181.82,133.96,101.47,71.76,62.9,29.4,68.86,66.06,128.41,59.66,83.74,66.13,58.65,65.98,97.23,98.09,97.96,94.92,68.23,66.86,132.7,175.86,169.4,204.75,191.49,112.93,119.84,150.74,112.68,109.5,111.67,103.71,131.31,95.33,105.87,95.5,87.39,84.53,72.63,50.87,221.71,64.05,72.02,83.09,125.41
173.28,234.74,62.24,45.39,43.44,30.66,28.61,70.34,43.36,77.57,43.74,49.03,97.36,213.79,50.15,73.88,54.76,53.7,40.14,28.21,33.89,37.43,59.83,102.36,69.26,110.18,113.98,139.27,71.31,177.12,84.38,65.49,108.04,61.31,85.14,93.32,72.38,68.4,89.49,114.13,70.19,142.05,88.14,156.96,101.48,122.52,81.73,95.06,78.71,77.12,102.67,147.54,162.52,122.52,138.01,73.04,79.7,127.32,127.02,116.64,435.92,394.34,283.64,458.65,285.98,238.75,351.27,306.38,249.06,103.39,104.5,139.43,93.8,64.87,108.76,147.05,132.55,48.62,64.92,53.05,55.57,42.36,67.19,78.6,97.21,79.65,67.04,55.12,140.31,102.77,78.56,70.16,72.63,91.48,114.4,140.68,180.71,172.48,167.79,96.44,103.89,162.38,120.06,99.04,107.71,111.51,140.45,146.29,123.04,86.76,106.53,94.52,67.02,64.76,155.96,76.25,59.52,142.63,57.54
78.25,92.87,81.51,29.29,67.91,21.34,30.32,65.47,44,46.57,51.45,42.47,83.68,108.54,60.99,61.98,42.34,43.63,33.51,27.2,46.28,64.05,98.28,62.26,56.53,74.22,79.96,62.08,61.82,192.28,148.15,67.79,81.31,53.11,89.68,87,97.11,59.26,119.51,109.91,109.3,164.72,117.28,104.8,103.31,108.02,75.6,115.11,90.85,78.01,106.55,101.19,108.79,111.5,165,143.44,70.92,153.4,97.08,98.61,260.53,235.41,339.6,353.66,205.23,251.45,245.52,188.66,291.89,144.14,90.85,156.12,116.33,71.31,100.75,83.55,100.11,61.27,60.63,50.19,46.07,36.74,76.72,70.81,72.92,67.76,71.15,58.42,92.15,97.99,69.68,79.66,64.8,94.13,92.23,122.33,186.48,216.46,143.72,116.66,157.85,170.58,131.57,98.6,133.69,102.3,149.77,160.83,115.36,81.2,126.33,64.72,86.41,90.39,146.91,70.25,54.32,86.29,120.73
